key,text
vwa--ship-your,"Votre vaisseau, {name}"
vwa--ship-enemy,"Vaisseau ennemi, {name}"
vwa--ship-no-enemy,Aucun vaisseau ennemi
vwa--ship-pos,"{x}, {y}"
vwa--minus,moins
vwa--action-ship-up,Curseur du vaisseau vers le haut
vwa--action-ship-down,Curseur du vaisseau vers le bas
vwa--action-ship-left,Curseur du vaisseau à gauche
vwa--action-ship-right,Curseur du vaisseau à droite
vwa--ship-room-small,petite salle
vwa--ship-room-wide,salle large
vwa--ship-room-tall,salle haute
vwa--ship-room-large,grande salle
vwa--ship-wall,mur
vwa--ship-airlock,sas
vwa--ship-door-open,porte ouverte
vwa--ship-door-closed,porte fermée
vwa--ship-door-battered,porte défoncée
vwa--ship-sys-damaged,"endommagé, {n} sur {m}"
vwa--ship-sys-destroyed,détruit
vwa--action-ship-where,Où suis-je
vwa--action-ship-details,Lire les détails de la case
vwa--ship-unknown,inconnu
vwa--ship-fire-one,feu
vwa--ship-fire-many,{n} feux
vwa--ship-warpfire-one,feu warp
vwa--ship-warpfire-many,{n} feux warp
vwa--ship-breach-one,brèche
vwa--ship-breach-many,{n} brèches
vwa--ship-poisoned,empoisonnée
vwa--ship-vacuum,vide
vwa--ship-venting,fuite d'air
vwa--ship-oxygen,oxygène {n} pour cent
vwa--ship-crew-one,1 membre d'équipage
vwa--ship-crew-many,{n} membres d'équipage
vwa--ship-hostile-one,1 hostile
vwa--ship-hostile-many,{n} hostiles
vwa--ship-crew-hostile,"{name}, hostile"
vwa--ship-fire-here,feu ici
vwa--ship-warpfire-here,feu warp ici
vwa--ship-breach-here,brèche ici
vwa--ship-console,console
vwa--ship-manned,occupée
vwa--ship-selected,sélectionné
vwa--action-ship-scan-cat-prev,Scanner : catégorie précédente
vwa--action-ship-scan-cat-next,Scanner : catégorie suivante
vwa--action-ship-scan-item-prev,Scanner : élément précédent
vwa--action-ship-scan-item-next,Scanner : élément suivant
vwa--action-ship-scan-inst-prev,Scanner : exemplaire précédent
vwa--action-ship-scan-inst-next,Scanner : exemplaire suivant
vwa--action-ship-scan-jump,Scanner : curseur vers l'entrée
vwa--action-ship-scan-orient,Scanner : distance de l'entrée
vwa--ship-scan-my-crew,mon équipage
vwa--ship-scan-enemy-crew,équipage ennemi
vwa--ship-scan-systems,systèmes
vwa--ship-scan-hazards,dangers
vwa--ship-scan-empty,vide
vwa--ship-scan-here,ici
vwa--ship-scan-up,{n} en haut
vwa--ship-scan-down,{n} en bas
vwa--ship-scan-left,{n} à gauche
vwa--ship-scan-right,{n} à droite
vwa--action-ship-scan-return,Scanner : retour à la case précédente
vwa--action-ship-scan-search,Scanner : rechercher
vwa--action-ship-search-commit,Recherche : valider
vwa--action-ship-search-cancel,Recherche : annuler
vwa--action-ship-search-delete,Recherche : effacer un caractère
vwa--ship-scan-search,résultats de recherche
vwa--ship-scan-search-prompt,Recherche
vwa--ship-scan-no-return,rien où revenir
vwa--ship-detached,détaché
vwa--action-ship-describe,Décrire le vaisseau
vwa--ship-desc-size,"{w} de large, {h} de haut, {n} salles"
vwa--ship-desc-sym,symétrique
vwa--ship-desc-sym-rough,presque symétrique
vwa--ship-desc-sections,{n} sections
vwa--ship-desc-detached,"section détachée, {n} salles"
vwa--ship-desc-range,{a} à {b}
vwa--ship-desc-tall,{n} de haut
vwa--ship-desc-tall-max,jusqu'à {n} de haut
vwa--ship-desc-wide,{n} de large
vwa--ship-desc-wide-max,jusqu'à {n} de large
vwa--ship-desc-upper,en haut
vwa--ship-desc-lower,en bas
vwa--ship-desc-left,à gauche
vwa--ship-desc-right,à droite
vwa--ship-desc-airlock-one,1 sas
vwa--ship-desc-airlocks,{n} sas
vwa--ship-desc-n-top,{n} en haut
vwa--ship-desc-n-bottom,{n} en bas
vwa--ship-desc-n-left,{n} à gauche
vwa--ship-desc-n-right,{n} à droite
vwa--ship-desc-n-interior,{n} intérieurs
